process_id,process_name,cpu_percent,memory_usage,timestamp
880,IFTelemetrySELFIngestor,0.0,11.78125,2025-07-18 15:34:07.704715
881,BiomeSELFIngestor,0.0,13.890625,2025-07-18 15:34:07.704770
882,GMSSELFIngestor,0.0,13.765625,2025-07-18 15:34:07.704821
883,IFTranscriptSELFIngestor,0.0,12.59375,2025-07-18 15:34:07.704873
884,MacinTalkAUSP,0.0,13.40625,2025-07-18 15:34:07.704915
885,MauiAUSP,0.0,12.4375,2025-07-18 15:34:07.704956
886,SiriAUSP,0.0,10.171875,2025-07-18 15:34:07.704996
887,KonaSynthesizer,0.0,9.890625,2025-07-18 15:34:07.705053
888,com.apple.audio.SandboxHelper,0.0,2.328125,2025-07-18 15:34:07.705106
889,com.apple.audio.SandboxHelper,0.0,2.328125,2025-07-18 15:34:07.705158
890,WardaSynthesizer_arm64,0.0,10.25,2025-07-18 15:34:07.705213
891,com.apple.audio.SandboxHelper,0.0,2.328125,2025-07-18 15:34:07.705267
893,AUCrashHandlerService,0.0,2.640625,2025-07-18 15:34:07.705321
894,com.apple.audio.SandboxHelper,0.0,2.328125,2025-07-18 15:34:07.705373
895,com.apple.audio.SandboxHelper,0.0,2.328125,2025-07-18 15:34:07.705424
896,voicebankingd,0.0,14.75,2025-07-18 15:34:07.705466
897,com.apple.SiriTTSService.TrialProxy,0.0,5.15625,2025-07-18 15:34:07.705519
898,com.apple.SiriTTSService.TrialProxy,0.0,5.109375,2025-07-18 15:34:07.705574
902,fudHelperAgent,0.0,1.5,2025-07-18 15:34:07.705613
963,spotlightknowledged,0.0,17.046875,2025-07-18 15:34:07.705704
1001,metrickitd,0.0,7.125,2025-07-18 15:34:07.705739
1009,contentlinkingd,0.0,10.421875,2025-07-18 15:34:07.705824
1011,intents_helper,0.0,10.234375,2025-07-18 15:34:07.705858
1017,keychainsharingmessagingd,0.0,7.46875,2025-07-18 15:34:07.705989
1030,dataaccessd,0.0,38.109375,2025-07-18 15:34:07.706443
1031,SafariBookmarksSyncAgent,0.0,17.921875,2025-07-18 15:34:07.706494
1032,peopled,0.0,26.140625,2025-07-18 15:34:07.706535
1033,proactived,0.0,18.609375,2025-07-18 15:34:07.706573
1068,MTLCompilerService,0.0,45.796875,2025-07-18 15:34:07.706814
1069,MTLCompilerService,0.0,36.703125,2025-07-18 15:34:07.706859
1071,SafariLaunchAgent,0.0,7.046875,2025-07-18 15:34:07.706903
1083,VTEncoderXPCService,0.0,18.84375,2025-07-18 15:34:07.706952
1084,VTDecoderXPCService,0.0,12.6875,2025-07-18 15:34:07.706999
1088,com.apple.SiriTTSService.TrialProxy,0.0,8.484375,2025-07-18 15:34:07.707132
1100,com.apple.audio.SandboxHelper,0.0,2.34375,2025-07-18 15:34:07.707178
1119,inputanalyticsd,0.0,11.046875,2025-07-18 15:34:07.707227
1120,feedbackd,0.0,10.140625,2025-07-18 15:34:07.707266
1121,tipsd,0.0,22.140625,2025-07-18 15:34:07.707306
1123,com.apple.tonelibraryd,0.0,4.3125,2025-07-18 15:34:07.707354
1134,PasswordBreachAgent,0.0,9.609375,2025-07-18 15:34:07.707467
1139,coreautha,0.0,44.140625,2025-07-18 15:34:07.707502
1140,AuthenticationServicesAgent,0.0,19.28125,2025-07-18 15:34:07.707555
1145,extensionkitservice,0.0,7.9375,2025-07-18 15:34:07.707600
1146,ImageThumbnailExtension,0.0,17.90625,2025-07-18 15:34:07.707648
1151,mapssyncd,0.0,16.046875,2025-07-18 15:34:07.707687
1153,photoanalysisd,0.0,36.203125,2025-07-18 15:34:07.707726
1159,cloudphotod,0.0,18.84375,2025-07-18 15:34:07.707800
1340,geoanalyticsd,0.0,17.6875,2025-07-18 15:34:07.707977
1448,amsondevicestoraged,0.0,22.28125,2025-07-18 15:34:07.708027
1494,XProtect,0.0,6.203125,2025-07-18 15:34:07.708068
1593,keyboardservicesd,0.0,13.3125,2025-07-18 15:34:07.708116
1594,naturallanguaged,0.0,22.671875,2025-07-18 15:34:07.708164
1721,OSDUIHelper,0.0,28.265625,2025-07-18 15:34:07.708236
1741,betaenrollmentagent,0.0,6.8125,2025-07-18 15:34:07.708289
1865,com.apple.ColorSyncXPCAgent,0.0,2.203125,2025-07-18 15:34:07.708415
2208,XprotectService,0.0,5.953125,2025-07-18 15:34:07.708499
2209,mdwrite,0.0,3.46875,2025-07-18 15:34:07.708597
2216,PlugInLibraryService,0.0,2.53125,2025-07-18 15:34:07.708647
2223,com.apple.CloudPhotosConfiguration,0.0,12.734375,2025-07-18 15:34:07.708696
2229,studentd,0.0,32.984375,2025-07-18 15:34:07.708731
2250,WallpaperImageExtension,0.0,47.09375,2025-07-18 15:34:07.708814
2256,MTLCompilerService,0.0,4.21875,2025-07-18 15:34:07.708864
2257,MTLCompilerService,0.0,4.234375,2025-07-18 15:34:07.708913
2266,translationd,0.0,17.265625,2025-07-18 15:34:07.708946
2271,com.apple.accessibility.mediaaccessibilityd,0.0,3.625,2025-07-18 15:34:07.708997
2449,devicecheckd,0.0,10.984375,2025-07-18 15:34:07.709159
2452,IMAutomaticHistoryDeletionAgent,0.0,14.640625,2025-07-18 15:34:07.709206
2542,EscrowSecurityAlert,0.0,12.109375,2025-07-18 15:34:07.709375
2611,mlhostd,0.0,19.953125,2025-07-18 15:34:07.709411
2613,extensionkitservice,0.0,10.546875,2025-07-18 15:34:07.709459
2690,LinkedNotesUIService,0.0,31.71875,2025-07-18 15:34:07.709503
2949,com.apple.appkit.xpc.openAndSavePanelService,0.0,137.140625,2025-07-18 15:34:07.709555
2950,QuickLookUIService,0.0,16.859375,2025-07-18 15:34:07.709606
2965,storekitagent,0.0,37.640625,2025-07-18 15:34:07.709647
3943,com.apple.audio.SandboxHelper,0.0,2.34375,2025-07-18 15:34:07.709695
4795,ThemeWidgetControlViewService,0.0,33.21875,2025-07-18 15:34:07.709797
5004,com.apple.audio.SandboxHelper,0.0,2.34375,2025-07-18 15:34:07.709845
5660,PowerChime,0.0,25.5,2025-07-18 15:34:07.709982
5743,businessservicesd,0.0,8.53125,2025-07-18 15:34:07.710111
5745,MessagesBlastDoorService,0.0,1.21875,2025-07-18 15:34:07.710159
5746,photolibraryd,0.0,33.78125,2025-07-18 15:34:07.710199
5747,intelligenceplatformd,0.0,13.234375,2025-07-18 15:34:07.710246
5748,privatecloudcomputed,0.0,13.0625,2025-07-18 15:34:07.710301
5749,com.apple.siri.embeddedspeech,0.0,15.53125,2025-07-18 15:34:07.710348
5750,analyticsagent,0.0,9.75,2025-07-18 15:34:07.710384
5752,backgroundassets.user,0.0,6.125,2025-07-18 15:34:07.710433
5756,nbagent,0.0,47.1875,2025-07-18 15:34:07.710471
5757,CloudTelemetryService,0.0,7.96875,2025-07-18 15:34:07.710515
5759,CloudTelemetryService,0.0,7.8125,2025-07-18 15:34:07.710606
5764,mbuseragent,0.0,4.421875,2025-07-18 15:34:07.710641
5778,RemoteManagementAgent,0.0,8.1875,2025-07-18 15:34:07.710724
5779,proactiveeventtrackerd,0.0,6.921875,2025-07-18 15:34:07.710777
5780,SafariConfigurationSubscriber,0.0,6.78125,2025-07-18 15:34:07.710829
5781,SecuritySubscriber,0.0,5.125,2025-07-18 15:34:07.710879
5782,InteractiveLegacyProfilesSubscriber,0.0,4.15625,2025-07-18 15:34:07.710933
5783,ScreenSharingSubscriber,0.0,6.890625,2025-07-18 15:34:07.710982
5788,LegacyProfilesSubscriber,0.0,4.109375,2025-07-18 15:34:07.711030
5789,PasscodeSettingsSubscriber,0.0,4.140625,2025-07-18 15:34:07.711081
5790,AccountSubscriber,0.0,7.890625,2025-07-18 15:34:07.711126
